month,month_start,hashicorp/vault,sigstore/cosign,notaryproject/notation,sigstore/rekor,sigstore/fulcio,Keyfactor/ejbca-ce,openpubkey/openpubkey,Keyfactor/signserver-ce
2021-11,2021-11-01,39,23,3,10,7,0,0,0
2021-12,2021-12-01,53,35,2,8,15,5,0,0
2022-01,2022-01-01,38,27,1,14,9,5,0,0
2022-02,2022-02-01,64,30,0,12,20,2,0,0
2022-03,2022-03-01,54,38,1,5,6,2,0,0
2022-04,2022-04-01,51,16,3,9,11,2,0,0
2022-05,2022-05-01,54,23,1,13,6,2,0,0
2022-06,2022-06-01,40,19,10,10,5,4,0,1
2022-07,2022-07-01,56,16,24,6,5,1,0,0
2022-08,2022-08-01,42,22,16,10,9,6,0,0
2022-09,2022-09-01,55,14,4,16,2,7,0,0
2022-10,2022-10-01,34,15,7,9,3,3,0,1
2022-11,2022-11-01,55,26,9,10,4,4,0,0
2022-12,2022-12-01,55,18,10,3,2,4,0,1
2023-01,2023-01-01,49,19,9,6,7,6,0,0
2023-02,2023-02-01,46,10,12,2,2,3,0,2
2023-03,2023-03-01,47,24,13,6,6,5,0,0
2023-04,2023-04-01,38,17,28,6,4,1,0,1
2023-05,2023-05-01,36,13,15,4,5,2,0,0
2023-06,2023-06-01,44,14,13,3,1,6,0,0
2023-07,2023-07-01,50,10,3,6,5,5,0,1
2023-08,2023-08-01,38,10,2,4,5,2,0,0
2023-09,2023-09-01,40,8,7,3,3,4,8,0
2023-10,2023-10-01,31,7,3,3,2,2,4,0
2023-11,2023-11-01,51,17,7,5,0,9,7,3
2023-12,2023-12-01,37,11,2,5,1,11,4,1
2024-01,2024-01-01,49,8,3,2,1,2,5,0
2024-02,2024-02-01,35,8,6,1,2,8,5,0
2024-03,2024-03-01,41,16,5,3,2,4,19,0
2024-04,2024-04-01,44,9,3,4,1,4,17,0
2024-05,2024-05-01,32,4,2,0,2,1,2,2
2024-06,2024-06-01,32,7,6,3,4,2,0,1
2024-07,2024-07-01,40,13,3,4,1,2,0,1
2024-08,2024-08-01,20,8,3,3,5,2,2,0
2024-09,2024-09-01,21,7,4,1,4,2,1,0
2024-10,2024-10-01,25,6,2,3,2,2,0,2
2024-11,2024-11-01,18,14,1,2,2,2,0,4
2024-12,2024-12-01,21,10,3,3,2,5,0,0
2025-01,2025-01-01,25,6,6,2,2,3,1,1
2025-02,2025-02-01,28,2,1,1,3,6,17,0
2025-03,2025-03-01,22,10,7,1,0,4,11,0
2025-04,2025-04-01,20,3,3,2,4,3,4,0
2025-05,2025-05-01,25,4,0,0,0,2,0,0
2025-06,2025-06-01,17,5,2,0,1,4,1,1
2025-07,2025-07-01,24,9,0,1,2,6,0,0
2025-08,2025-08-01,17,6,0,3,0,4,0,0
2025-09,2025-09-01,14,5,0,0,0,4,0,0
2025-10,2025-10-01,24,22,2,1,3,2,1,0
2025-11,2025-11-01,3,1,0,0,0,0,0,0
