category,chi2,dof,p_value,cramers_v,n_assignments,min_expected,cells_expected_lt5,theme_family
Verification workflow,968.770695204372,7,6.726053648832617e-205,0.2101655251243079,21933,7.3252177084758126,0,Affected-component themes
Key Management Core (secret engine),814.0408413078152,7,1.731453063126987e-171,0.19265224662026514,21933,6.4164500980258055,0,Affected-component themes
Signing workflow,332.86065371314567,7,5.731464856827468e-68,0.12319191649035767,21933,7.166871836958008,0,Affected-component themes
Authentication/Authorization tools,203.16100417145526,7,2.456472721898444e-40,0.09624344412322662,21933,11.476633383486071,0,Affected-component themes
Notification/Logging,97.07127136567269,7,4.338037747727399e-18,0.06652675489691735,21933,11.862171157616377,0,Affected-component themes
Build/CI,91.76249048073566,7,5.3743129280213065e-17,0.0646820203528735,21933,19.029042994574386,0,Affected-component themes
Policy/configuration,55.590302286562995,7,1.1387634916669085e-09,0.05034432223512537,21933,15.924086992203529,0,Affected-component themes
CLI tooling,34.124293763905946,7,1.632617009943188e-05,0.039444169526543664,21933,21.65207677928236,0,Affected-component themes
Documentation/Help,26.94790458468079,7,0.0003405522465047715,0.035052054733528834,21933,13.70724479095427,0,Affected-component themes
Web Client,23.531800112100143,7,0.0013765085905100007,0.032755071820328364,21933,15.276934299913373,0,Affected-component themes
API,17.188733193375374,7,0.016218901312775192,0.02799451294284304,21933,21.163269958510007,0,Affected-component themes
1. Visibility of system status,129.2425949737488,7,9.048006947051511e-25,0.1132048108482225,10085,8.460981655924641,0,Nielsen themes
3. User control and freedom,54.57962178178462,7,1.8059787816319049e-09,0.07356602825904814,10085,0.7799702528507685,2,Nielsen themes
7. Flexibility and efficiency of use,37.30059312675096,7,4.113998066502277e-06,0.06081628921503725,10085,17.362816063460585,0,Nielsen themes
"9. Help users recognize, diagnose, and recover from errors",36.46062151307416,7,5.933344104702046e-06,0.06012762951211426,10085,4.035498264749628,1,Nielsen themes
4. Consistency and standards,24.94029807368019,7,0.0007775144473008375,0.04972935982819586,10085,3.718988596926128,1,Nielsen themes
2. Match between system and the real world,17.17132037880379,7,0.01632425569394245,0.04126329401177769,10085,2.7977193852255824,1,Nielsen themes
10. Help and documentation,15.84216346164002,7,0.026598153252453034,0.03963412673625802,10085,17.11978185423897,0,Nielsen themes
5. Error prevention,15.099896658411561,7,0.03473998451397366,0.038694481918333856,10085,1.859494298463064,1,Nielsen themes
8. Aesthetic and minimalist design,12.903776967286214,7,0.07448784348563926,0.03577012622735477,10085,0.24868616757560733,6,Nielsen themes
6. Recognition rather than recall,12.252971159927922,7,0.09254071058303938,0.03485641794677289,10085,0.6160634605850273,2,Nielsen themes
Authentication friction,111.89307598525471,7,3.715967109061054e-21,0.07620101376265538,19270,10.49174883238194,0,Primary themes (inductively generated)
Missing feature / enhancement request,93.14242556483862,7,2.795926784027268e-17,0.06952370600127311,19270,13.624701608718215,0,Primary themes (inductively generated)
Security concerns,87.71969440211419,7,3.6340095989074165e-16,0.06746953199707416,19270,5.28837571354437,0,Primary themes (inductively generated)
Integration failure/issues,72.27599418284916,7,5.117201038546691e-13,0.061242960974788596,19270,10.564608199273483,0,Primary themes (inductively generated)
Build/CI/installation/distribution release issues,66.9374783166385,7,6.129004096257295e-12,0.058937785848805456,19270,15.446185781006747,0,Primary themes (inductively generated)
Unexpected behavior,40.18343229003117,7,1.1610123467592995e-06,0.045664915402355274,19270,8.743124026984951,0,Primary themes (inductively generated)
Notification/Logging Issues,35.2317594972136,7,1.0116665801347641e-05,0.04275887881541449,19270,15.810482615464453,0,Primary themes (inductively generated)
Configuration friction,26.644546842330346,7,0.0003861035792096653,0.037184616933602,19270,14.450441100155683,0,Primary themes (inductively generated)
Performance issue,14.879908075434724,7,0.0375699914906154,0.027788126471177184,19270,6.338764919564089,0,Primary themes (inductively generated)
Tedious Workflows,11.874624458188059,7,0.10475803044746972,0.024823846924650027,19270,1.9854177477944992,1,Primary themes (inductively generated)
User confusion / unclear documentation,9.86899419670385,7,0.19611981347953458,0.022630575040378832,19270,14.256149455111572,0,Primary themes (inductively generated)
Functional Gap,69.82524240251789,7,1.6025792040347768e-12,0.08042570984071482,10795,14.551181102362206,0,Secondary themes (as coded field)
Functional Reliability,23.868113502290463,7,0.001201781190600105,0.047021634769394534,10795,14.389069013432145,0,Secondary themes (as coded field)
Cognitive Friction,18.994922463869443,7,0.008203261754434654,0.04194763102238246,10795,20.05650764242705,0,Secondary themes (as coded field)
Operational Friction,16.50929168001216,7,0.020849626603520136,0.0391068555261638,10795,21.0032422417786,0,Secondary themes (as coded field)
Functional Gap,93.14242556483862,7,2.795926784027268e-17,0.06952370600127311,19270,13.624701608718215,0,Secondary themes (inductively generated; mapped)
Functional Reliability,83.74205770191521,7,2.370953313421197e-15,0.06592208831775671,19270,20.370264660093408,0,Secondary themes (inductively generated; mapped)
Operational Friction,53.96359967005677,7,2.391206084973812e-09,0.05291875261484531,19270,52.93840166061235,0,Secondary themes (inductively generated; mapped)
Cognitive Friction,34.643020813219906,7,1.3051256292865991e-05,0.04240011358755623,19270,30.066632070576023,0,Secondary themes (inductively generated; mapped)
